,index,City,Country,Lat,Long,Cloudiness,Humidity,Max Temp,Wind Speed
596,596,bundaberg,AU,-24.87,152.35,40,48,302.59,4.6
597,597,senneterre,CA,48.39,-77.24,90,100,264.15,6.2
598,598,salta,AR,-24.79,-65.41,20,77,297.15,1.5
600,600,coquimbo,CL,-29.95,-71.34,0,93,287.15,2.6
601,601,surt,LY,31.21,16.59,24,42,289.02,3.07
602,602,hofn,IS,64.25,-15.21,0,62,277.42,6.45
603,603,araouane,ML,18.9,-3.53,0,17,294.15,3.88
604,604,hushitai,CN,41.93,123.51,0,49,269.15,1
605,605,merauke,ID,-8.49,140.4,0,50,305.7,5.66
606,606,vadso,NO,70.07,29.75,90,85,269.15,8.2
607,607,akdepe,TM,42.05,59.39,60,85,266.15,5
608,608,filadelfia,PY,-22.35,-60.04,100,47,299.27,3.36
609,609,santa barbara,US,34.42,-119.7,75,87,282.15,5.1
610,610,destin,US,30.39,-86.5,1,76,290.15,2.92
611,611,nyurba,RU,63.29,118.35,99,88,256.35,4.33
613,613,barranca,PE,-10.75,-77.76,73,92,291.62,4.96
614,614,gagnoa,CI,6.13,-5.95,15,98,295.19,0.63
615,615,juba,EE,57.82,26.93,90,93,275.37,6.2
